phase	repo	status	sha	pr	branch	restored	note	refs
scaffold	messaging-intel/msgint-sync	PUSHED	f515a6d4		main			
scaffold	messaging-intel/msgint-web-server.rs	PUSHED	7c080348		main			
scaffold	meta-agents-demo/metacog	PUSHED	8a82c0f6		main			
scaffold	networking-components/ncc-dns-server	PUSHED	13112c21		main			
scaffold	networking-components/ncc-e2e	PUSHED	b8e347cb		main			
scaffold	networking-components/ncc-network-controller	PUSHED	13769c58		dev			
scaffold	networking-components/ncc-observability	PUSHED	44e39b36		dev			
scaffold	quaestor-ledger/quaestor-executor	PUSHED	7cf9d2d2		main			
scaffold	quaestor-ledger/quaestor-infra	PUSHED	cf2a79ce		main			
scaffold	quaestor-ledger/quaestor-ledger-mcp-server.rs	PUSHED	5b6dbbc5		main			
scaffold	quaestor-ledger/quaestor-ledger-server.rs	PUSHED	f9400469		main			
scaffold	quaestor-ledger/quaestor-ledger-sync	PUSHED	66b5a3fe		main			
scaffold	quaestor-ledger/quaestor-monorepo	PUSHED	9075aa66		main			
scaffold	quaestor-ledger/quaestor-web-server.rs	PUSHED	4f194d37		main			
scaffold	rust-ssr-demos/axum-htmx-seaorm-supabase	PUSHED	e1d01e51		main			
scaffold	rust-ssr-demos/axum-leptos-dioxus-unified-ssr	PUSHED	440b884b		main			
scaffold	rust-ssr-demos/dioxus-ssr-crud-d3-supabase	PUSHED	3bf897aa		main			
scaffold	rust-ssr-demos/leptos-dioxus-dual-ssr	PUSHED	fca93903		main			
scaffold	rust-ssr-demos/leptos-ssr-crud-d3-supabase	PUSHED	9e60668a		main			
scaffold	rust-ssr-demos/rust-ssr-e2e	PUSHED	6f20d80c		main			
scaffold	rust-ssr-demos/rust-ssr-mcp-server.rs	PUSHED	df60b66e		main			
scaffold	sagitta-stack/dart-server	PUSHED	83083cab		main			
scaffold	sagitta-stack/sagitta-mcp-server.rs	PUSHED	fd2d8b80		main			
scaffold	sagitta-stack/sagitta-monorepo	PUSHED	b0414e12		main			
scaffold	scintilla-run/scintilla-app-rs	PUSHED	1eae4d9f		main			
scaffold	scintilla-run/scintilla-backend.rs	PUSHED	f5d2d341		main			
scaffold	scintilla-run/scintilla-mcp-server.rs	PUSHED	78e5fa87		main			
scaffold	scintilla-run/scintilla-run-e2e	PUSHED	3b708a85		main			
scaffold	scintilla-run/scintilla-run-infra	PUSHED	bee43621		main			
scaffold	scintilla-run/scintilla-sync	PUSHED	89e3c8d0		main			
scaffold	shared-auth/shared-auth-e2e	PUSHED	73568553		main			
scaffold	shared-auth/shared-auth-infra	PUSHED	f17664fc		main			
scaffold	shared-auth/shared-auth-mcp-server.rs	PUSHED	614f815e		main			
scaffold	shared-auth/shared-auth-monorepo	PUSHED	04ecc1ff		main			
scaffold	shared-auth/shared-auth-sync	PUSHED	988a00e8		main			
scaffold	sonus-auris/sonus-auris-api-server.rs	PUSHED	ceacd5cb		main			
scaffold	sonus-auris/sonus-auris-backend.rs	PUSHED	a65fb646		main			
scaffold	sonus-auris/sonus-auris-e2e	PUSHED	1b6b8fae		main			
scaffold	sonus-auris/sonus-auris-mcp-server.rs	PUSHED	4cca5b4d		main			
scaffold	sonus-auris/sonus-auris-sync	PUSHED	1b2699f4		main			
scaffold	sonus-auris/sonus-auris-web-server.rs	PUSHED	6e1eb132		main			
scaffold	usa-acc/rest-api-backend.rs	PUSHED	a34fb63e		main			
scaffold	usa-acc/usa-acc-mcp-server.rs	PUSHED	92d7f114		main			
scaffold	usa-acc/usacc-monorepo	PUSHED	2f1c17f9		main			
scaffold	voxletra/voxletra-e2e	PUSHED	b93e1126		main			
scaffold	voxletra/voxletra-sync	PUSHED	33850a05		main			
scaffold	voxletra/vxl-api-server.rs	PUSHED	092a8f97		main			
scaffold	voxletra/vxl-infra	PUSHED	8421fbba		main			
scaffold	voxletra/vxl-web-server.rs	PUSHED	a3be46bf		main			
scaffold-memebank	memebank/mbk-ocr-api	PUSHED	792f4c4b		master			
scaffold-memebank	memebank/mbk-rest-api	PUSHED	9b7261bf		master			
recon	3FA-app/3FA-desktop.rs	MERGED-DISJOINT	3ca39ed0		agent-sync/20260823/local-main			
recon	3FA-app/3fa-backend.rs	FAST-FORWARDED	bb470b4e		agent-sync/20260823/local-main			
recon	3FA-app/3fa-client-ui.dart	ERROR					/git/ref/heads/main -> 404 { "message": "Not Found", "documentation_url": "https://docs.github.com/rest/git/refs#get-a-r	
recon	3FA-app/3fa-web-server.rs	FAST-FORWARDED	3fded3a9		agent-sync/20260823/local-main			
recon	StreemPilot/sp-cli	MERGED	da1b0ca5		agent-sync/20260823/local-main			
recon	StreemPilot/sp-infra	MERGED	fc8e1f6b		agent-sync/20260823/local-main			
recon	StreemPilot/sp-sync	MERGED	1d1c775c		agent-sync/20260823/local-main			
recon	StreemPilot/sp-web-dioxus	FAST-FORWARDED	a2208969		agent-sync/20260823/local-main			
recon	StreemPilot/sp-web-leptos	FF-PR		https://github.com/StreemPilot/sp-web-leptos/pull/11	agent-sync/20260823/local-main			
recon	StreemPilot/sp-web-mash	MERGED	5dec8691		agent-sync/20260823/local-main			
recon	StreemPilot/streempilot-api-server.rs	MERGED	15f066e9		agent-sync/20260823/local-main			
recon	StreemPilot/streempilot-chat.rs	MERGED	2ae6e06c		agent-sync/20260823/local-main			
recon	StreemPilot/streempilot-cli.rs	MERGED	ab556e6b		agent-sync/20260823/local-main			
recon	StreemPilot/streempilot-media-router.rs	MERGED	efb65adc		agent-sync/20260823/local-main			
recon	akrion-sim/akrion-backend.rs	MERGED	13bbdc72		agent-sync/20260823/local-main			
recon	akrion-sim/akrion-mcp-server.rs	MERGED	69e9433e		agent-sync/20260823/local-main			
recon	akrion-sim/akrion-monorepo	MERGED	191c3a27		agent-sync/20260823/local-main			
recon	akrion-sim/akrion-sim-sync	MERGED	bdf9b5a3		agent-sync/20260823/local-main			
recon	akrion-sim/akrion-web-server.rs	MERGED	875baba6		agent-sync/20260823/local-main			
recon	anticaptrad/act-ai-server.ts	MERGED	7fd63361		agent-sync/20260823/local-main			
recon	anticaptrad/act-api-server.rs	MERGED	6dbe50f7		agent-sync/20260823/local-main			
recon	anticaptrad/act-cli	FAST-FORWARDED	13b16bfa		agent-sync/20260823/local-main			
recon	anticaptrad/act-infra	MERGED	0940b2c5		agent-sync/20260823/local-main			
recon	anticaptrad/act-mcp-server.rs	MERGED	6590a2fa		agent-sync/20260823/local-main			
recon	anticaptrad/act-sync	MERGED	d27acb53		agent-sync/20260823/local-main			
recon	anticaptrad/act-web-server.rs	MERGED	00fa39ee		agent-sync/20260823/local-main			
recon	apostille-me/apme-api	MERGED	7922676a		agent-sync/20260823/local-main			
recon	apostille-me/apme-cli	MERGE-TREE-MISMATCH			agent-sync/20260823/local-main			
recon	apostille-me/apme-infra	MERGED	a594478f		agent-sync/20260823/local-main			
recon	apostille-me/apme-sync	MERGE-TREE-MISMATCH			agent-sync/20260823/local-main			
recon	apostille-me/apme-web-dioxus	MERGED	ccd12fb7		agent-sync/20260823/local-main			
recon	apostille-me/apme-web-leptos	MERGED	77fedc0e		agent-sync/20260823/local-main			
recon	apostille-me/apme-web-mash	MERGED	4e4633d7		agent-sync/20260823/local-main			
recon	apostille-me/apostille-me-infra	FAST-FORWARDED	e2f9c8b7		agent-sync/20260823/local-main			
recon	athlet-o/athleto-app-rs	MERGED	102ebbc2		agent-sync/20260823/local-main			
recon	athlet-o/athleto-backend.rs	MERGED	bfa03d04		agent-sync/20260823/local-main			
recon	athlet-o/athleto-infra	MERGED	7ecb22b9		agent-sync/20260823/local-main			
recon	athlet-o/athleto-mcp-server.rs	MERGED	82835a52		agent-sync/20260823/local-main			
recon	athlet-o/athleto-sync	MERGED	f36ac90e		agent-sync/20260823/local-main			
recon	benefactor-cc/backend.rs	FAST-FORWARDED	0b118fde		agent-sync/20260823/local-main			
recon	canonical-cloud/canonical-api-server.rs	MERGED	4e07b1b3		agent-sync/20260823/local-main			
recon	canonical-cloud/canonical-cli	MERGED	41cf285b		agent-sync/20260823/local-main			
recon	canonical-cloud/canonical-infra	MERGED	a2997e39		agent-sync/20260823/local-main			
recon	canonical-cloud/canonical-marketing-site.web	FAST-FORWARDED	4217995b		agent-sync/20260823/local-main			
recon	cliptown/cliptown-cli	PAUSED-BASE-MISMATCH						
recon	cliptown/cliptown-infra	MERGED	ebfe12d4		agent-sync/20260823/local-main			
recon	cliptown/cliptown-rust-backend.rs	MERGED	fd1e2723		agent-sync/20260823/local-main			
recon	daedalus-fab/daedalus-api-server.rs	MERGED	aef9908f		agent-sync/20260823/local-main			
recon	daedalus-fab/daedalus-cli	FAST-FORWARDED	acd510b6		agent-sync/20260823/local-main			
recon	daedalus-fab/daedalus-fab-mcp-server.rs	MERGED	7a173ce8		agent-sync/20260823/local-main			
recon	daedalus-fab/daedalus-infra	MERGED	6eb143e6		agent-sync/20260823/local-main			
recon	daedalus-fab/daedalus-sync	MERGED	4c3ae606		agent-sync/20260823/local-main			
recon	daedalus-fab/daedalus-web-server.rs	MERGED	27c02bde		agent-sync/20260823/local-main			
recon	daedalus-fab/fabrication-server.rs	MERGED	b5617b5b		agent-sync/20260823/local-main			
recon	drone-mngr/drone-mngr-ctrl-server.rs	MERGED	450b7ec7		agent-sync/20260823/local-main			
recon	drone-mngr/drone-mngr-infra	MERGED	9168a5be		agent-sync/20260823/local-main			
recon	drone-mngr/drone-mngr-web-server.rs	PAUSED-BASE-MISMATCH						
recon	drone-mngr/laser-ptr-ctrl-infra	PAUSED-BASE-MISMATCH						
recon	drone-mngr/laser-ptr-ctrl-mcp-server.rs	PAUSED-BASE-MISMATCH						
recon	drone-mngr/laser-ptr-ctrl-server.rs	MERGED	b942c254		agent-sync/20260823/local-main			
recon	drone-mngr/laser-ptr-ctrl-web-server.rs	PAUSED-BASE-MISMATCH						
recon	embedded-alerts/eal-api	PAUSED-BASE-MISMATCH						
recon	embedded-alerts/eal-cli	PAUSED-BASE-MISMATCH						
recon	embedded-alerts/eal-dioxus-web	MERGED	fdb83ce9		agent-sync/20260823/local-main			
recon	embedded-alerts/eal-infra	MERGED	a504b89d		agent-sync/20260823/local-main			
recon	embedded-alerts/eal-leptos-web	MERGED	55b0c137		agent-sync/20260823/local-main			
recon	embedded-alerts/eal-mash-web	MERGED	1acc89f5		agent-sync/20260823/local-main			
recon	embedded-alerts/eal-sync	PAUSED-BASE-MISMATCH						
recon	evento-globolo/evgl-api	MERGE-TREE-MISMATCH			agent-sync/20260823/local-main			
recon	evento-globolo/evgl-cli	PAUSED-BASE-MISMATCH						
recon	evento-globolo/evgl-dioxus-web	MERGE-TREE-MISMATCH			agent-sync/20260823/local-main			
recon	evento-globolo/evgl-infra	MERGED	edfbba00		agent-sync/20260823/local-main			
recon	evento-globolo/evgl-leptos-web	MERGE-TREE-MISMATCH			agent-sync/20260823/local-main			
recon	evento-globolo/evgl-mash-web	PAUSED-BASE-MISMATCH						
recon	evento-globolo/evgl-sync	MERGED	c27b0bf9		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-admin.rs	FAST-FORWARDED	555db18c		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-ai-agent-bridge.rs	FAST-FORWARDED	e37a8f4b		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-ai-agent-control-plane	FAST-FORWARDED	b45043d1		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-ai-agent-coordinator.rs	FAST-FORWARDED	fae96b56		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-ai-agent-manager.rs	FAST-FORWARDED	e73a8062		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-auth.rs	FAST-FORWARDED	1cda94ce		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-brain.rs	FAST-FORWARDED	bfe84db7		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-cli.rs	FAST-FORWARDED	d50ebf3e		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-clients	FAST-FORWARDED	79ef2b6c		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-cloud.github.io	FAST-FORWARDED	e96cc4d0		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-customer.rs	FAST-FORWARDED	8f55986f		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-e2e	FAST-FORWARDED	d9773977		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-edge	FAST-FORWARDED	37850623		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-infra	FAST-FORWARDED	71260cca		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-interfaces	FAST-FORWARDED	9b483dd3		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-lambda-service.rs	FAST-FORWARDED	abdde9ea		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-load-balance.rs	FAST-FORWARDED	879b53a7		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-marketing.web	FAST-FORWARDED	4dc80ea6		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-mcp-server.rs	FAST-FORWARDED	7addc0d5		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-memory	FAST-FORWARDED	a88b0f9c		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-memory.rs	FAST-FORWARDED	0fe5a29f		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-messaging	FAST-FORWARDED	e2a6da24		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-messaging.rs	FAST-FORWARDED	82173022		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-monorepo	FAST-FORWARDED	0bbbc4dd		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-node-sidecar.rs	FAST-FORWARDED	60f5bc77		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-node.rs	FAST-FORWARDED	f1990795		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-operations-control-plane	FAST-FORWARDED	1a2af029		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-payments.rs	FAST-FORWARDED	bdeeb279		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-routing.rs	FAST-FORWARDED	ca320ca2		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-sync	FAST-FORWARDED	ee996c20		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-telemetry.rs	FAST-FORWARDED	6873ef7c		agent-sync/20260823/local-main			
recon	fiducia-cloud/fiducia-test-config	FAST-FORWARDED	517db1ab		agent-sync/20260823/local-main			
recon	file-tunnel/ftnl-backend-api.rs	MERGED	1122ab54		agent-sync/20260823/local-main			
recon	file-tunnel/ftnl-infra	FAST-FORWARDED	3bd93d2c		agent-sync/20260823/local-main			
recon	file-tunnel/ftnl-web-server.rs	PAUSED-BASE-MISMATCH						
recon	hacker-house-medellin/hhm-api	MERGED	9d8d83e4		agent-sync/20260823/local-main			
recon	hacker-house-medellin/hhm-cli	PAUSED-BASE-MISMATCH						
recon	hacker-house-medellin/hhm-dioxus-web	MERGED	3f4822b5		agent-sync/20260823/local-main			
recon	hacker-house-medellin/hhm-infra	MERGED	d967db08		agent-sync/20260823/local-main			
recon	hacker-house-medellin/hhm-leptos-web	MERGED	55305e6a		agent-sync/20260823/local-main			
recon	hacker-house-medellin/hhm-mash-web	PAUSED-BASE-MISMATCH						
recon	hacker-house-medellin/hhm-sync	MERGED	aef39352		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-analytics.rs	MERGED	2de96afa		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-api-server.rs	MERGED	20831c5f		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-cli	FAST-FORWARDED	c82abb07		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-cli.rs	PAUSED-BASE-MISMATCH						
recon	hypesiege/hypesiege-connectors	MERGED	23590f48		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-infra	MERGED	cea4da1f		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-mcp-server.rs	PAUSED-BASE-MISMATCH						
recon	hypesiege/hypesiege-monorepo	PAUSED-BASE-MISMATCH						
recon	hypesiege/hypesiege-publishing-worker.rs	MERGED	7ce2b908		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-scheduler.rs	MERGED	4bd64752		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-sync	MERGED	5c4ff9cb		agent-sync/20260823/local-main			
recon	hypesiege/hypesiege-web-server.rs	MERGED	20ce8174		agent-sync/20260823/local-main			
recon	messaging-intel/msgint-analytics	MERGED	f5b51a0d		agent-sync/20260823/local-main			
recon	messaging-intel/msgint-api-server.rs	PAUSED-BASE-MISMATCH						
recon	messaging-intel/msgint-chrome-extension-app	PAUSED-BASE-MISMATCH						
recon	messaging-intel/msgint-connectors	MERGED	79188d84		agent-sync/20260823/local-main			
recon	messaging-intel/msgint-mcp-server.rs	MERGED	345ac586		agent-sync/20260823/local-main			
recon	messaging-intel/msgint-sync	MERGED	81d88c92		agent-sync/20260823/local-main			
recon	quaestor-ledger/quaestor-executor	MERGED	d27e988d		agent-sync/20260823/local-main			
